status_id,feature,value,lab,favorite_pred,retweet_pred,favorite_count,retweet_count,favorite_sign,retweet_sign,favorite_shap_value,retweet_shap_value,created_at,lab_text
1431993627329302529,d_w2l,0.5047106325706595,xG-Goal Difference,576.6580509100755,12.191103655345348,1525,30,neg,neg,-0.21329544484615326,-0.26545020937919617,2021-08-29T14:54:20Z,2021-08-29: Tottenham (1.09) 1-0 (0.71) Watford
1432031503828008971,d_w2l,0.9044414535666218,xG-Goal Difference,6305.723267284595,399.4175727921574,15351,1116,pos,pos,0.6299030184745789,0.6978626251220703,2021-08-29T17:24:51Z,2021-08-29: Wolves (2.01) 0-1 (0.66) Man United
1436681685798686725,d_w2l,0.5868102288021534,xG-Goal Difference,7784.981458590777,486.4654785951993,16632,1318,neg,neg,-0.103328175842762,-0.12775060534477234,2021-09-11T13:23:00Z,2021-09-11: Crystal Palace (3.07) 3-0 (0.08) Tottenham
1436720667576111123,d_w2l,0.7927321668909826,xG-Goal Difference,2395.042680795551,98.19876159017781,6129,193,pos,pos,0.10538888722658157,0.11530313640832901,2021-09-11T15:57:54Z,2021-09-11: Brentford (0.71) 0-1 (0.19) Brighton
1436720942198177800,d_w2l,0.44683714670255725,xG-Goal Difference,3897.784899814386,122.92273659403277,5477,222,neg,neg,-0.12559723854064941,-0.19612252712249756,2021-09-11T15:59:00Z,2021-09-11: Man United (2.58) 4-1 (0.63) Newcastle
1436721518575333379,d_w2l,0.7039030955585465,xG-Goal Difference,2919.3808046666068,155.49690179092408,4030,216,neg,neg,-0.05391320586204529,-0.011496854946017265,2021-09-11T16:01:17Z,2021-09-11: Arsenal (2.40) 1-0 (0.54) Norwich
1436721719209865220,d_w2l,0.7469717362045761,xG-Goal Difference,2035.71484382029,80.3869340336909,2032,72,neg,neg,-0.024679500609636307,-0.06358561664819717,2021-09-11T16:02:05Z,2021-09-11: Leicester (0.71) 0-1 (2.89) Man City
1436757387021623302,d_w2l,0.9946164199192464,xG-Goal Difference,5098.689082304989,322.04172243665494,6853,403,pos,pos,0.4805833399295807,0.57440584897995,2021-09-11T18:23:49Z,2021-09-11: Chelsea (1.35) 3-0 (1.37) Aston Villa
1437105832370528264,d_w2l,0.6514131897711979,xG-Goal Difference,4938.597924598961,254.26692465774076,6038,221,neg,neg,-0.10111316293478012,-0.1402333527803421,2021-09-12T17:28:25Z,2021-09-12: Leeds (0.89) 0-3 (4.36) Liverpool
1437519231533342728,d_w2l,0.33243606998654107,xG-Goal Difference,761.7002820750184,14.84717025438586,1730,28,neg,neg,-0.2015872746706009,-0.25461524724960327,2021-09-13T20:51:07Z,2021-09-13: Everton (1.61) 3-1 (1.51) Burnley
1438972110274240520,d_w2l,0.6204576043068641,xG-Goal Difference,1010.911297405672,17.927481976119495,1840,31,neg,neg,-0.13780193030834198,-0.2196401059627533,2021-09-17T21:04:20Z,2021-09-17: Newcastle (1.42) 1-1 (1.66) Leeds
1439219190305599498,d_w2l,0.40780619111709293,xG-Goal Difference,1442.7210390442679,30.665970985734823,2794,46,neg,neg,-0.16116486489772797,-0.23981021344661713,2021-09-18T13:26:09Z,2021-09-18: Wolves (1.26) 0-2 (1.92) Brentford
1439256562321825798,d_w2l,0.5450874831763123,xG-Goal Difference,3176.2285548465966,130.93161070307806,3279,130,neg,neg,-0.10349001735448837,-0.15767155587673187,2021-09-18T15:54:39Z,2021-09-18: Liverpool (3.30) 3-0 (0.62) Crystal Palace
1439257252867760128,d_w2l,0.7375504710632571,xG-Goal Difference,2686.729193422706,138.06060155897615,5108,262,neg,neg,-0.026251008734107018,-0.033408209681510925,2021-09-18T15:57:23Z,2021-09-18: Burnley (1.06) 0-1 (0.95) Arsenal
1439257561744691207,d_w2l,0.6850605652759085,xG-Goal Difference,1108.2330001831888,27.975566267782213,1551,38,neg,neg,-0.09319242835044861,-0.17735104262828827,2021-09-18T15:58:37Z,2021-09-18: Man City (1.23) 0-0 (0.51) Southampton
1439293821079199746,d_w2l,0.9919246298788695,xG-Goal Difference,3050.4340154315087,186.47445162471863,7412,255,pos,pos,0.713715136051178,0.9306809306144714,2021-09-18T18:22:42Z,2021-09-18: Aston Villa (0.96) 3-0 (0.96) Everton
1439604079911743497,d_w2l,0.4737550471063257,xG-Goal Difference,1391.9806306066919,38.12317125542442,3929,80,neg,neg,-0.16797111928462982,-0.20634955167770386,2021-09-19T14:55:33Z,2021-09-19: Brighton (1.63) 2-1 (1.48) Leicester
1439604307012247552,d_w2l,0.506056527590848,xG-Goal Difference,2727.374673803036,86.53888474514855,5088,147,neg,neg,-0.14666615426540375,-0.15390615165233612,2021-09-19T14:56:28Z,2021-09-19: West Ham (1.67) 1-2 (2.06) Man United
1439641259317080078,d_w2l,0.414535666218035,xG-Goal Difference,6003.674576493247,351.3333590645992,8809,600,neg,neg,-0.11621608585119247,-0.14478866755962372,2021-09-19T17:23:18Z,2021-09-19: Tottenham (0.79) 0-3 (2.50) Chelsea
1441755510139600906,d_w2l,0.6527590847913862,xG-Goal Difference,3656.5291899444774,254.02359919293175,5448,424,neg,neg,-0.09486104547977448,-0.13773155212402344,2021-09-25T13:24:34Z,2021-09-25: Chelsea (0.22) 0-1 (1.70) Man City
1441756072247631877,d_w2l,0.8317631224764468,xG-Goal Difference,4345.307317465327,189.68079789883274,5661,263,pos,pos,0.2041807919740677,0.2433651089668274,2021-09-25T13:26:48Z,2021-09-25: Man United (2.27) 0-1 (1.46) Aston Villa
1441796475390922753,d_w2l,0.4993270524899058,xG-Goal Difference,917.0289339049908,20.25314164179945,807,25,neg,neg,-0.165923073887825,-0.23702459037303925,2021-09-25T16:07:21Z,2021-09-25: Everton (2.09) 2-0 (0.75) Norwich
1441796719847432197,d_w2l,0.819650067294751,xG-Goal Difference,2464.3512916913696,67.48047524524269,3078,85,pos,pos,0.09945039451122284,0.07363109290599823,2021-09-25T16:08:19Z,2021-09-25: Leicester (2.11) 2-2 (0.39) Burnley
1441797166490693634,d_w2l,0.784656796769852,xG-Goal Difference,910.5004490718003,25.22896409009232,758,24,neg,pos,-0.061418771743774414,0.03945114463567734,2021-09-25T16:10:06Z,2021-09-25: Watford (0.77) 1-1 (2.23) Newcastle
1441797515276341250,d_w2l,0.6258411843876178,xG-Goal Difference,1199.4155975959723,23.69709885516097,1254,20,neg,neg,-0.14598174393177032,-0.2366732954978943,2021-09-25T16:11:29Z,2021-09-25: Leeds (1.00) 1-2 (2.28) West Ham
1441830989223927810,d_w2l,0.6769851951547778,xG-Goal Difference,6786.052459357204,366.4136843610541,11456,712,neg,neg,-0.01074840035289526,-0.04604020714759827,2021-09-25T18:24:30Z,2021-09-25: Brentford (3.09) 3-3 (2.43) Liverpool
1442141535861198849,d_w2l,0.4925975773889637,xG-Goal Difference,1050.1350569842457,13.016112056601328,1797,16,neg,neg,-0.16088689863681793,-0.24763748049736023,2021-09-26T14:58:30Z,2021-09-26: Southampton (0.90) 0-1 (1.19) Wolves
1442178719045484545,d_w2l,0.3768506056527591,xG-Goal Difference,4895.878055012777,138.56766237066995,5069,156,neg,neg,-0.1552722454071045,-0.19703856110572815,2021-09-26T17:26:15Z,2021-09-26: Arsenal (1.49) 3-1 (1.06) Tottenham
1442594132279529478,d_w2l,0.6406460296096904,xG-Goal Difference,1787.817855222814,30.708338333656766,3278,63,neg,neg,-0.14355406165122986,-0.2185509353876114,2021-09-27T20:56:57Z,2021-09-27: Crystal Palace (1.41) 1-1 (1.02) Brighton
1444292570721488898,d_w2l,0.6366083445491253,xG-Goal Difference,6608.811564534672,377.03438641260243,7335,580,neg,neg,-0.08860697597265244,-0.09970537573099136,2021-10-02T13:25:57Z,2021-10-02: Man United (0.92) 1-1 (1.28) Everton
1444330018910441474,d_w2l,0.5652759084791387,xG-Goal Difference,7582.268663989931,400.43635380458716,8379,508,neg,neg,-0.07442464679479599,-0.13597795367240906,2021-10-02T15:54:45Z,2021-10-02: Chelsea (3.39) 3-1 (1.56) Southampton
1444330354828095491,d_w2l,0.6056527590847914,xG-Goal Difference,1208.8063445874213,19.315710454234527,1016,20,neg,neg,-0.169405996799469,-0.24724002182483673,2021-10-02T15:56:05Z,2021-10-02: Leeds (1.32) 1-0 (0.19) Watford
1444330429524348932,d_w2l,0.4643337819650068,xG-Goal Difference,1079.6079552357346,19.53216015626122,836,18,neg,neg,-0.15515224635601044,-0.196811243891716,2021-10-02T15:56:23Z,2021-10-02: Wolves (0.93) 2-1 (0.85) Newcastle
1444367032439517189,d_w2l,0.7133243606998654,xG-Goal Difference,8742.559864478346,310.1350998274124,9578,456,pos,neg,0.02601921185851097,-0.013218914158642292,2021-10-02T18:21:50Z,2021-10-02: Brighton (1.31) 0-0 (0.38) Arsenal
1444676844557590531,d_w2l,0.4939434724091521,xG-Goal Difference,2323.3781700833265,35.46395379632098,2236,39,neg,neg,-0.12666362524032593,-0.1866183876991272,2021-10-03T14:52:55Z,2021-10-03: Tottenham (1.44) 2-1 (1.14) Aston Villa
1444677435639861254,d_w2l,0.6393001345895021,xG-Goal Difference,1631.6888746458496,30.017734043177764,1058,27,neg,neg,-0.16929078102111816,-0.23596180975437164,2021-10-03T14:55:16Z,2021-10-03: Crystal Palace (1.31) 2-2 (0.93) Leicester
1444678186663567361,d_w2l,0.7375504710632571,xG-Goal Difference,1919.579737731841,40.24760490128029,1669,39,neg,neg,-0.07668671011924744,-0.04411311075091362,2021-10-03T14:58:15Z,2021-10-03: West Ham (1.70) 1-2 (1.59) Brentford
1444714979505156097,d_w2l,0.6069986541049798,xG-Goal Difference,6979.899634750237,330.6031311147822,7298,414,neg,neg,-0.093097589910030365,-0.11613231897354126,2021-10-03T17:24:27Z,2021-10-03: Liverpool (1.10) 2-2 (0.96) Man City
1449364273705234435,d_w2l,0.3674293405114401,xG-Goal Difference,6218.198912230374,277.76328686403997,3233,112,neg,neg,-0.09335875511169434,-0.14327751100063324,2021-10-16T13:19:05Z,2021-10-16: Watford (0.19) 0-5 (3.55) Liverpool
1449403135827582992,d_w2l,0.6527590847913862,xG-Goal Difference,1740.7307181257386,24.619159569667147,810,14,neg,neg,-0.15552270412445068,-0.24133193492889404,2021-10-16T15:53:30Z,2021-10-16: Southampton (1.95) 1-0 (0.47) Leeds
1449403263523172352,d_w2l,0.6016150740242262,xG-Goal Difference,2837.9715842971264,59.303751844537565,1057,12,neg,neg,-0.14831143617630005,-0.1957569271326065,2021-10-16T15:54:01Z,2021-10-16: Norwich (1.15) 0-0 (1.25) Brighton
1449403534542319618,d_w2l,0.4818304172274563,xG-Goal Difference,1881.3504746917574,40.09459397042824,1026,22,neg,neg,-0.16568095982074738,-0.22402025759220123,2021-10-16T15:55:05Z,2021-10-16: Man City (2.14) 2-0 (0.93) Burnley
1449403908204466181,d_w2l,0.5652759084791387,xG-Goal Difference,5199.797156137692,185.49830767555548,5902,374,neg,neg,-0.09171540290117264,-0.15151268243789673,2021-10-16T15:56:34Z,2021-10-16: Leicester (2.84) 4-2 (1.01) Man United
1449405220329598976,d_w2l,0.5397039030955585,xG-Goal Difference,2401.6601504834916,31.092433963844947,1062,20,neg,neg,-0.11700242757797241,-0.16107870638370514,2021-10-16T16:01:47Z,2021-10-16: Aston Villa (1.06) 2-3 (1.70) Wolves
1449441130370764816,d_w2l,0.9380888290713324,xG-Goal Difference,10709.463506569846,520.8155668135036,21928,1769,pos,pos,0.42843812704086304,0.5756353735923767,2021-10-16T18:24:29Z,2021-10-16: Brentford (1.88) 0-1 (0.28) Chelsea
1449751578886516739,d_w2l,0.5706594885598923,xG-Goal Difference,1922.4428407197133,35.462562833403254,2086,37,neg,neg,-0.1344321221113205,-0.19283585250377655,2021-10-17T14:58:06Z,2021-10-17: Everton (0.89) 0-1 (1.76) West Ham
1449794415992655877,d_w2l,0.594885598923284,xG-Goal Difference,1865.0692796137419,45.71055051957338,2759,55,neg,neg,-0.16998781263828278,-0.23490993678569794,2021-10-17T17:48:19Z,2021-10-17: Newcastle (0.57) 2-3 (1.62) Tottenham
1450204383006928908,d_w2l,0.7644683714670255,xG-Goal Difference,3458.9344964761144,93.62362754353707,5262,247,neg,neg,-0.04180402308702469,-0.018416615203022957,2021-10-18T20:57:23Z,2021-10-18: Arsenal (1.84) 2-2 (0.53) Crystal Palace
1451655014854930436,d_w2l,0.550471063257066,xG-Goal Difference,6033.549374717638,260.27031800157954,4639,160,neg,neg,-0.06535982340574265,-0.12811802327632904,2021-10-22T21:01:40Z,2021-10-22: Arsenal (3.24) 3-1 (1.52) Aston Villa
1451901584938569730,d_w2l,0,xG-Goal Difference,7343.434632157434,289.9602846589591,12744,782,pos,pos,0.09218379855155945,0.007223677821457386,2021-10-23T13:21:27Z,2021-10-23: Chelsea (2.87) 7-0 (0.24) Norwich
1451940074933923849,d_w2l,0.7160161507402423,xG-Goal Difference,1063.377821603439,19.94867993253431,838,17,neg,neg,-0.05858529359102249,-0.08409687876701355,2021-10-23T15:54:24Z,2021-10-23: Southampton (1.66) 2-2 (0.71) Burnley
1451940388088975370,d_w2l,0.3633916554508749,xG-Goal Difference,3497.22610377404,84.12119472337582,3030,83,neg,neg,-0.1568254828453064,-0.2128598541021347,2021-10-23T15:55:38Z,2021-10-23: Everton (1.80) 2-5 (3.13) Watford
1451940748178382853,d_w2l,0.730820995962315,xG-Goal Difference,1443.0274183765077,35.845546357777685,817,14,neg,neg,-0.05605810135602951,-0.080577947199344635,2021-10-23T15:57:04Z,2021-10-23: Crystal Palace (1.86) 1-1 (0.80) Newcastle
1451941111669399562,d_w2l,0.6877523553162854,xG-Goal Difference,1663.1931014010468,25.936398846011144,765,13,neg,neg,-0.09938080608844757,-0.18012136220932007,2021-10-23T15:58:31Z,2021-10-23: Leeds (1.69) 1-1 (0.95) Wolves
1451977807341436938,d_w2l,0.44279946164199196,xG-Goal Difference,2604.0948425663755,77.44619137287253,2999,74,neg,neg,-0.13173572719097137,-0.18707694113254547,2021-10-23T18:24:20Z,2021-10-23: Brighton (1.35) 1-4 (3.27) Man City
1452286961067118593,d_w2l,0.5921938088829072,xG-Goal Difference,4143.570974211634,157.21537130398534,2563,66,neg,neg,-0.1311545968055725,-0.19319207966327667,2021-10-24T14:52:48Z,2021-10-24: West Ham (1.68) 1-0 (0.65) Tottenham
1452289219859189770,d_w2l,0.7456258411843877,xG-Goal Difference,3838.515051277851,110.05422935934207,1194,26,neg,neg,-0.028660621494054794,-0.011198841035366058,2021-10-24T15:01:46Z,2021-10-24: Brentford (1.02) 1-2 (0.85) Leicester
1452325131418746898,d_w2l,0.23418573351278604,xG-Goal Difference,7826.129388670227,404.1773664236859,6036,316,neg,neg,-0.11460032314062119,-0.10738550871610641,2021-10-24T17:24:28Z,2021-10-24: Man United (1.37) 0-5 (3.74) Liverpool
1454440374785687559,d_w2l,1,xG-Goal Difference,8781.889073931066,501.87814350517897,7429,352,pos,pos,0.5419225096702576,0.7153260707855225,2021-10-30T13:29:42Z,2021-10-30: Leicester (1.98) 0-2 (0.92) Arsenal
1454476487395008518,d_w2l,0.5585464333781965,xG-Goal Difference,1961.763086760244,41.8056250918579,1158,24,neg,neg,-0.11564318835735321,-0.17066967487335205,2021-10-30T15:53:12Z,2021-10-30: Burnley (2.67) 3-1 (0.89) Brentford
1454476623839907852,d_w2l,0.6191117092866756,xG-Goal Difference,7485.148653404885,363.1479057666202,7434,330,neg,neg,-0.09797527641057968,-0.14312170445919037,2021-10-30T15:53:44Z,2021-10-30: Liverpool (1.30) 2-2 (1.53) Brighton
1454478266669088770,d_w2l,0.5074024226110364,xG-Goal Difference,6669.336876931813,237.81937927660474,5611,301,neg,neg,-0.08599903434515,-0.150552436709404,2021-10-30T16:00:16Z,2021-10-30: Newcastle (0.22) 0-3 (2.62) Chelsea
1454478433036247044,d_w2l,0.3593539703903096,xG-Goal Difference,4252.4306487373415,264.9209340545105,4329,190,neg,neg,-0.1579909473657608,-0.1916101723909378,2021-10-30T16:00:55Z,2021-10-30: Man City (0.75) 0-2 (1.05) Crystal Palace
