idx,text,created_at,tm_a,tm_h,estimated_followers_count_a,estimated_followers_count_h,g_a,g_h,xg_a,xg_h,estimated_followers_count,favorite_count,retweet_count,favorite_pred,retweet_pred,favorite_diff,retweet_diff,total_diff,total_diff_frac
178,Chelsea (3.10) 4-0 (0.15) C Palace,2020-10-03T13:28:00Z,C Palace,Chelsea,1028050.5845951524,15744489.181069959,0,4,0.15,3.1,57439,1007,61,880.506121797046,64.08967869225114,126.49387820295397,-3.089678692251141,62.60781438413333,0.058621549048813976
336,Real Madrid (3.20) 2-0 (0.71) M’gladbach,2020-12-09T21:55:10Z,Mgladbach,Real Madrid,,35765129.60859272,0,2,0.71,3.2,83031,686,27,696.1438856467552,15.356560930173586,-10.143885646755166,11.643439069826414,41.235196042796886,0.05783337453407698
296,Wolfsburg (1.37) 5-3 (0.84) Werder Bremen,2020-11-27T21:51:05Z,Werder Bremen,Wolfsburg,,,3,5,0.84,1.37,75988,2877,58,2452.2924822698606,81.22540842971902,424.70751773013944,-23.225408429719025,158.04182443647863,0.05384729963764178
171,Hoffenheim (2.36) 4-1 (1.73) Bayern,2020-09-27T16:22:45Z,Bayern Munich,Hoffenheim,,,1,4,1.73,2.36,56463,347,15,336.53206683589303,11.831030967132223,10.467933164106967,3.1689690328677766,19.082005234280352,0.05271272164165843
9,Norwich (0.57) 1-0 (1.44) Leicester ⭐️,2020-02-28T21:55:17Z,Leicester,Norwich,1699339.3873599968,687556.1762676404,0,1,1.44,0.57,31220,23,0,17.656376517845672,0.4889308693455636,5.343623482154328,-0.4889308693455636,1.1899987579462872,0.05173907643244727
219,Southampton (0.62) 2-0 (0.31) Everton,2020-10-25T15:53:45Z,Everton,Southampton,2334071.7094300934,1294387.207786423,0,2,0.31,0.62,64552,413,13,402.00291924097564,9.269558721834379,10.997080759024357,3.730441278165621,21.675426207027893,0.05088128217612182
317,Sevilla (1.55) 0-4 (1.52) Olivier Giroud,2020-12-02T23:46:57Z,Olivier Giroud,Sevilla,,966989.9734775608,4,0,1.52,1.55,79754,1140,58,1130.0842326642858,47.95357884126745,9.915767335714236,10.04642115873255,46.67006711290856,0.03895665034466491
308,Leicester (1.58) 1-2 (2.00) Fulham,2020-11-30T19:28:27Z,Fulham,Leicester,566960.8035950335,1762587.8551904259,2,1,2,1.58,77871,600,12,565.080635791542,11.40664660553786,34.91936420845798,0.5933533944621399,23.153796024342387,0.03783300003977514
199,Barcelona (2.80) 5-1 (1.20) Ferencvaros,2020-10-20T20:52:37Z,Ferencvaros,Barcelona,,34862144.70334015,1,5,1.2,2.8,61832,220,10,215.13745557046144,8.746066945298809,4.862544429538559,1.253933054701191,7.978610096033966,0.03468960911319116
428,Man City (1.30) 4-0 (0.05) C Palace,2021-01-17T21:04:18Z,C Palace,Man City,1041600.014322683,8996004.115321819,0,4,0.05,1.3,102557,2776,80,2526.4572675069203,92.24595225950293,249.5427324930797,-12.245952259502928,98.54419779371216,0.034504270936173725
50,Liverpool (2.77) 4-0 (0.08) C Palace,2020-06-24T22:22:25Z,C Palace,Liverpool,1014972.0107450199,15939261.792918695,0,4,0.08,2.77,39936,25,3,33.261403911708555,1.603501329910939,-8.261403911708555,1.396498670089061,0.760456489012256,0.02715916032186629
111,West Ham (0.93) 3-1 (1.72) Watford,2020-07-17T20:57:43Z,Watford,West Ham,715435.3100958794,1727339.2050355338,1,3,1.72,0.93,46143,88,8,87.70559386048703,7.411963210181,0.29440613951297223,0.5880367898190002,2.5617903526736066,0.0266853161736834
115,Man Utd (1.12) 1-3 (1.89) Chelsea,2020-07-19T19:05:50Z,Chelsea,Man United,15602408.244325114,,3,1,1.89,1.12,46491,102,12,103.37983233816097,11.090222522177125,-1.3798323381609663,0.9097774778228747,2.873107798870704,0.025202699990093894
302,Everton (1.57) 0-1 (3.24) Leeds,2020-11-28T19:28:42Z,Leeds,Everton,670153.949366771,2342969.425080223,1,0,3.24,1.57,76895,1720,65,1662.1863921952918,62.455304296940824,57.81360780470823,2.544695703059176,44.675738952649326,0.025028425183557045
233,Antwerp (1.56) 1-0 (0.83) Tottenham,2020-10-29T20:29:11Z,Tottenham,Antwerp,5458412.154886537,,0,1,0.83,1.56,66226,868,36,765.7559184792519,45.55427558470419,102.24408152074807,-9.554275584704193,21.960905231172255,0.0242930367601463
388,Chelsea (1.24) 1-1 (1.08) Aston Villa,2020-12-28T19:24:30Z,Aston Villa,Chelsea,1512132.2156765338,15903734.215112751,1,1,1.08,1.24,92515,1398,46,1399.8278852569733,38.49451359978959,-1.8278852569733317,7.505486400210408,29.379405352138523,0.020345848581813382
15,⭐️ Chelsea (2.17) 4-0 (0.51) Everton,2020-03-08T16:03:55Z,Everton,Chelsea,2272697.4414783414,15350602.5634063,0,4,0.51,2.17,32405,20,0,17.976969246704112,0.21356882181154857,2.023030753295888,-0.21356882181154857,0.3349752043830311,0.016748760219151552
383,West Ham (1.60) 2-2 (1.63) Brighton,2020-12-27T16:06:05Z,Brighton,West Ham,370025.7581856268,1765139.0081485955,2,2,1.63,1.6,91609,1105,19,1058.7611746936097,21.329712015632875,46.238825306390254,-2.3297120156328752,18.01365803873803,0.01602638615546088
232,Juventus (0.29) 0-2 (2.31) Barcelona,2020-10-28T21:52:51Z,Barcelona,Juventus,34897323.4657755,8677096.939978572,2,0,2.31,0.29,65947,511,65,574.107807306346,53.83646709664809,-63.10780730634599,11.163532903351907,7.821756090633684,0.013579437657350146
32,Real Madrid (0.91) 3-1 (0.51) Eibar,2020-06-14T19:42:40Z,Eibar,Real Madrid,,35063861.73646163,1,3,0.51,0.91,38402,28,2,28.17203165231621,1.8951624115936312,-0.17203165231621043,0.10483758840636881,0.3233410160182409,0.010778033867274696
133,Inter Milan (3.17) 2-1 (0.72) Leverkusen,2020-08-10T20:56:23Z,Leverkusen,Inter Milan,415764.11145174585,2226653.9081685375,1,2,0.72,3.17,49978,208,14,212.20865963652412,13.028719279616746,-4.208659636524118,0.9712807203832536,1.442169263052849,0.0064962579416795
255,Barcelona (4.35) 2-1 (2.49) Dynamo Kyiv,2020-11-04T21:56:57Z,Dynamo Kyiv,Barcelona,,34928075.81822266,1,2,2.49,4.35,68666,644,19,633.1471328345767,19.947161642988135,10.852867165423277,-0.9471616429881351,2.603005237340487,0.003926101413786557
209,Rapid Wien (1.24) 1-2 (1.67) Arsenal,2020-10-22T19:33:13Z,Arsenal,Rapid Wien,16773230.361392539,,2,1,1.67,1.24,63367,256,15,271.2718547132324,12.910400329605071,-15.271854713232415,2.0895996703949287,-0.5910497113235689,-0.0021809952447364167
75,Tottenham (0.62) 1-0 (0.53) Everton,2020-07-06T20:56:09Z,Everton,Tottenham,2304784.169485257,5377060.179515701,0,1,0.53,0.62,42795,57,4,52.52697578717335,4.698585146508431,4.473024212826651,-0.6985851465084307,-0.17822027023961518,-0.002921643774419921
325,Cadiz (2.16) 2-1 (1.79) Barcelona,2020-12-05T21:56:00Z,Barcelona,Cadiz,35063940.607511126,,1,2,1.79,2.16,80939,983,41,1077.3672936422606,28.875277748233536,-94.36729364226062,12.124722251766464,-6.847727417183407,-0.006687233805843171
234,Lille (2.83) 2-2 (0.51) Celtic,2020-10-29T20:29:35Z,Celtic,Lille,,,2,2,0.51,2.83,66295,381,27,409.8605256500222,23.504857767725703,-28.860525650022225,3.495142232274297,-2.958772345011626,-0.0072518930024794755
136,Wolves (1.26) 0-1 (1.35) Sevilla,2020-08-11T20:56:44Z,Sevilla,Wolves,953025.9321928723,742538.8152060726,1,0,1.35,1.26,50257,87,7,75.25162558715205,8.929982254785108,11.748374412847951,-1.9299822547851075,-0.8543240439463471,-0.009088553659003693
148,Arsenal (0.96) 1-1 (2.07) Liverpool,2020-08-29T17:22:19Z,Liverpool,Arsenal,16065024.803886227,16665053.616073852,1,1,2.07,0.96,52279,451,62,489.3544224957159,57.88962900266943,-38.35442249571588,4.11037099733057,-6.10176432317671,-0.011894277433093
59,C Palace (1.52) 0-1 (0.43) Burnley,2020-06-29T20:56:38Z,Burnley,C Palace,523140.85886245803,1015623.4272877531,1,0,0.43,1.52,40913,37,1,31.82125977916226,1.8910575840206398,5.178740220837739,-0.8910575840206398,-0.5402199495247713,-0.014216314461178192
361,Arsenal (0.65) 1-1 (1.12) Southampton,2020-12-16T19:52:46Z,Southampton,Arsenal,1302461.6784638204,16882697.873846415,1,1,1.12,0.65,86379,919,14,933.3337761354938,15.628932726433568,-14.33377613549385,-1.6289327264335682,-15.127549159571007,-0.016213879056346202
129,Man City (1.87) 2-1 (0.81) Real Madrid,2020-08-07T20:55:14Z,Real Madrid,Man City,35278078.97232304,8836822.082722535,1,2,0.81,1.87,49559,235,14,234.09575179162726,15.326412807975618,0.904248208372735,-1.3264128079756183,-4.8468031073511755,-0.019465072720285845
225,Lokomotiv (2.04) 1-2 (2.85) Bayern,2020-10-27T19:51:45Z,Bayern Munich,Lokomotiv,,,2,1,2.85,2.04,65389,279,6,250.6621758121825,11.87582158993351,28.33782418781749,-5.87582158993351,-7.015118573678691,-0.024614451135714706
37,Tottenham (0.46) 1-1 (1.62) Man United,2020-06-19T21:11:31Z,Man United,Tottenham,,5364929.579092258,1,1,1.62,0.46,39030,38,6,54.332265914539356,3.9039408355176164,-16.332265914539356,2.0960591644823836,-1.194812393236564,-0.027154827119012816
208,Inter (3.19) 2-2 (1.42) Monchengladbach,2020-10-21T20:59:48Z,Monchengladbach,Inter Milan,,2247666.048894714,2,2,1.42,3.19,62739,274,15,279.3814049888751,16.336861199717298,-5.38140498887509,-1.3368611997172977,-8.623472847597732,-0.029839006393071736
319,Arsenal (3.84) 4-1 (1.20) Rapid Wien,2020-12-03T21:57:54Z,Rapid Wien,Arsenal,,16856887.889640365,1,4,1.2,3.84,80242,1233,28,1248.8624735712613,35.058852222836194,-15.862473571261262,-7.058852222836194,-38.07619148313592,-0.030195235117474958
88,Norwich (0.64) 0-4 (4.19) West Ham,2020-07-11T13:30:18Z,West Ham,Norwich,1725932.0038202577,700736.1091845143,4,0,4.19,0.64,44051,86,6,99.67926874437025,4.691810199952447,-13.679268744370248,1.3081898000475531,-2.816708343062821,-0.030616395033291534
384,Liverpool (1.76) 1-1 (0.76) West Brom,2020-12-27T18:22:07Z,West Brom,Liverpool,1063813.9140160163,16291197.707992548,1,1,0.76,1.76,91818,2159,48,2292.4029893834395,46.80439798676881,-133.4029893834395,1.1956020132311878,-74.40066576303228,-0.03371122146036805
40,Brighton (0.74) 2-1 (0.69) Arsenal,2020-06-20T16:06:04Z,Arsenal,Brighton,16523770.486201905,361520.34043490735,1,2,0.69,0.74,39239,42,4,41.63818265593738,4.440054097868577,0.3618173440626222,-0.4400540978685772,-1.5712599924659527,-0.03415782592317289
292,Molde (1.04) 0-0 (0.59) Arsenal,2020-11-26T18:43:21Z,Arsenal,Molde,16842973.82380291,,0,0,0.59,1.04,75430,2842,112,3113.2603283524645,99.58929469115351,-271.2603283524645,12.410705308846488,-110.77771178508294,-0.03750091800442889
61,Leeds (1.69) 1-1 (0.20) Luton,2020-06-30T20:44:08Z,Luton,Leeds,,652473.6121700355,1,1,0.2,1.69,41052,34,2,28.193524037390876,3.1838374520432806,5.806475962609124,-1.1838374520432806,-1.3557025765981368,-0.037658404905503796
230,Krasnodar (0.62) 0-4 (2.77) Chelsea,2020-10-28T19:58:36Z,Chelsea,Krasnodar,15790946.907247668,,4,0,2.77,0.62,65807,482,15,487.7075995540831,18.95960573401364,-5.707599554083117,-3.959605734013639,-19.463181405874384,-0.039161330796527935
64,West Ham (1.88) 3-2 (1.54) Chelsea,2020-07-01T21:11:51Z,Chelsea,West Ham,15568567.579299342,1723584.1153658202,2,3,1.54,1.88,41470,37,1,35.287188965514744,1.6734077578966118,1.7128110344852558,-0.6734077578966118,-1.7158450716392475,-0.04515381767471704
58,Watford (0.81) 1-3 (1.12) Southampton,2020-06-28T17:25:32Z,Southampton,Watford,1275716.8062680357,713492.4392336437,3,1,1.12,0.81,40773,10,0,10.955673555739057,-0.017281326586437995,-0.9556735557390574,0.017281326586437995,-0.4976122021881056,-0.04976122021881056
154,Tottenham (1.10) 0-1 (1.22) Everton,2020-09-13T17:24:11Z,Everton,Tottenham,2323033.362259191,5426017.731377333,1,0,1.22,1.1,54232,224,10,224.1093758726518,13.347013381553415,-0.10937587265181037,-3.347013381553415,-13.650760358728121,-0.05833658272960735
246,Leeds (1.42) 1-4 (3.20) Leicester,2020-11-02T21:54:11Z,Leicester,Leeds,1756275.1641580479,667143.0472049442,4,1,3.2,1.42,67760,659,15,703.1612039117445,18.657133191434685,-44.16120391174445,-3.657133191434685,-41.08041734529916,-0.06095017410281774
241,Deportivo (0.97) 1-1 (2.26) Barcelona,2020-10-31T21:53:44Z,Barcelona,Deportivo,34910506.362474054,,1,1,2.26,0.97,67202,408,20,418.2518019645498,25.03464790753262,-10.251801964549827,-5.034647907532619,-26.526535276415242,-0.06197788615984869
93,Aston Villa (1.59) 2-0 (0.78) C Palace,2020-07-12T16:01:00Z,C Palace,Aston Villa,1017315.1581744703,1482062.6984760347,0,2,0.78,1.59,44539,23,1,23.953083083019347,1.2297328724573382,-0.9530830830193473,-0.2297328724573382,-1.4987225767976706,-0.06244677403323628
169,Sheffield Utd (1.74) 0-1 (1.34) Leeds,2020-09-27T12:54:53Z,Leeds,Sheffield Utd,662951.5310695504,391968.9155916703,1,0,1.34,1.74,56114,297,18,316.9764093962124,19.92416104080001,-19.976409396212375,-1.9241610408000085,-19.67814891794631,-0.062470314025226376
134,Man Utd (3.69) 1-0 (0.77) Copenhagen,2020-08-10T21:39:56Z,Copenhagen,Man United,,,0,1,0.77,3.69,50048,457,50,506.1955441490849,51.35462271485971,-49.195544149084924,-1.3546227148597083,-34.725216196820355,-0.06849155068406382
215,Barcelona (1.91) 1-3 (3.64) Real Madrid,2020-10-24T16:04:03Z,Real Madrid,Barcelona,35585227.32374906,34879738.51960184,3,1,3.64,1.91,63924,612,54,788.159561176251,39.53516606138996,-176.15956117625103,14.464833938610042,-45.94120297457272,-0.06898078524710619
327,Sheffield Utd (0.33) 1-2 (1.50) Leicester,2020-12-06T16:08:23Z,Leicester,Sheffield Utd,1763937.6354943227,395325.28560986294,2,1,1.5,0.33,81149,483,8,553.335976080539,6.249733145301375,-70.33597608053901,1.7502668546986246,-34.68160450799755,-0.07063463239918034
